CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE
I-200-19066-858178,Certified,2019-03-13,"Financial Specialists, All Other",Jpmorgan Chase & Co.,Chicago,IL,Newark,DE,47902.0
I-200-22153-238606,Certified,2022-06-09,"Electronics Engineers, Except Computer",Teleworld Solutions Inc.,Chantilly,VA,Allen,TX,85530.0
I-200-21187-446573,Certified,2021-07-13,"Software Developers, Applications","Fis Management Services, Llc",New York,NY,Owings Mills,MD,117832.0
I-200-22168-292098,Certified,2022-06-27,"Software Developers, Applications",Vista Applied Solutions Group Inc,Herndon,VA,Linthicum Heights,MD,95181.0
I-200-22277-509593,Certified,2022-10-12,Computer Network Architects,"Khoj Information Technology, Inc.",Ramsey,NJ,East Brunswick,NJ,139859.0
I-200-21123-281322,Certified,2021-05-10,"Software Developers, Applications","Fis Management Services, Llc",New York,NY,Phoenixville,PA,79676.0
I-200-22077-989377,Certified - Withdrawn,2022-06-09,"Software Developers, Systems Software",Seagate Us Llc,Fremont,CA,Fremont,CA,121763.0
I-200-22127-147090,Certified,2022-05-13,Computer Systems Engineers/Architects,Cognizant Technology Solutions Us Corp,College Station,TX,Plano,TX,76856.0
I-200-19067-987296,Certified,2019-03-14,Database Administrators,Virtusa Corporation,Southborough,MA,New York,NY,83512.0
I-200-20042-312929,Certified,2020-02-19,Sales Engineers,Wipro Limited,East Brunswick,NJ,East Brunswick,NJ,111758.0
I-200-20087-440892,Denied,2020-03-31,"Physicians And Surgeons, All Other",St. Luke's Hospital,Chesterfield,MO,Chesterfield,MO,60300.0
I-200-21043-075248,Certified,2021-02-22,Hospitalists,"Excela Health Physician Practices, Inc.",Greensburg,PA,Greensburg,PA,176530.0
I-200-23076-856458,Certified,2023-03-24,Computer Systems Analysts,Infosys Limited,Richardson,TX,Dallas,TX,106621.0
I-200-19238-913178,Certified,2019-09-04,General And Operations Managers,"Scopely, Inc.",Culver City,CA,Culver City,CA,180960.0
I-200-22249-455328,Certified,2022-09-13,Computer And Information Systems Managers,Ernst & Young U.s. Llp,Secaucus,NJ,Marietta,PA,132704.0
I-200-22173-304003,Certified,2022-06-29,"Software Developers, Applications","Incedo, Inc.",Iselin,NJ,Iselin,NJ,101754.0
I-200-22062-948553,Certified,2022-03-10,"Software Developers, Applications",Data Systems Integration Group Inc.,Dublin,OH,Columbus,OH,85571.0
I-200-21217-505007,Certified,2021-08-12,"Software Developers, Applications",Insightly Inc.,San Francisco,CA,San Francisco,CA,121763.0
I-200-19044-844973,Certified,2019-02-20,"Software Developers, Applications",Capgemini America Inc,Chicago,IL,Cincinnati,OH,77189.0
I-200-19295-102340,Certified,2019-10-29,"Medical Scientists, Except Epidemiologists",Ut Southwestern Medical Center,Dallas,TX,Dallas,TX,50066.0
I-200-22103-065791,Certified,2022-04-20,"Electronics Engineers, Except Computer","Cisco Systems, Inc.",San Jose,CA,San Jose,CA,148221.0
I-200-19284-081875,Certified,2019-10-21,Computer Systems Analysts,Infosys Limited,Richardson,TX,Hillsboro,OR,76690.0
I-200-19038-408355,Certified,2019-02-13,Computer Programmers,Wipro Limited,East Brunswick,NJ,Plano,TX,71802.0
I-200-21148-355204,Certified,2021-06-07,"Software Developers, Systems Software","Charles Schwab And Company, Inc.",Westlake,TX,Jersey City,NJ,143936.0
I-200-22075-984533,Certified,2022-03-23,Mechanical Engineers,Cummins Inc.,Nashville,TN,Fridley,MN,78915.0
I-200-19277-071146,Certified,2019-10-11,"Software Developers, Systems Software","Denso International America, Inc",Southfield,MI,Southfield,MI,106850.0
I-200-20142-592933,Certified - Withdrawn,2022-02-28,Chemists,University Of Colorado,Boulder,CO,Boulder,CO,51542.0
I-200-19123-609362,Certified,2019-05-14,Geographers,Yale University,New Haven,CT,New Haven,CT,52374.0
I-200-23172-131559,Certified,2023-06-28,Marketing Managers,Workiva Inc.,Ames,IA,Chicago,IL,173930.0
I-200-20318-912094,Certified,2020-11-20,Data Warehousing Specialists,Savvy It Group Inc,Manasquan,NJ,Bridgewater,NJ,80954.0
I-200-21130-298686,Certified,2021-05-17,Software Quality Assurance Engineers And Testers,Atos Syntel Inc,Troy,MI,Sandy Springs,GA,74006.0
I-200-19066-070888,Certified,2019-03-13,Management Analysts,"Exlservice.com, Llc",New York,NY,Jersey City,NJ,87506.0
I-200-22032-868486,Certified,2022-02-08,Computer And Information Systems Managers,Deloitte Consulting Llp,Philadelphia,PA,Pennington,NJ,123427.0
I-200-19059-790723,Certified,2019-03-06,Financial Analysts,"Blackrock Institutional Trust Company, N.a.",Wilmington,DE,San Francisco,CA,104354.0
I-200-20196-712726,Certified,2020-07-21,Computer Systems Engineers/Architects,Dell Marketing L.p.,Round Rock,TX,Nashua,NH,90314.0
I-200-20314-904999,Denied,2020-11-16,"Software Developers, Applications","Care.com, Inc.",Waltham,MA,Seattle,WA,114556.0
I-200-20105-484668,Certified,2020-04-21,Interpreters And Translators,"Transperfect Translations International, Inc.",New York,NY,San Francisco,CA,44408.0
I-200-22102-062658,Certified,2022-04-19,Computer And Information Systems Managers,"Faire Wholesale, Inc.",San Francisco,CA,Bee Cave,TX,188760.0
I-200-19071-168425,Certified,2019-03-26,Logistics Engineers,Bingham And Taylor Corp.,Rocky Hill,CT,Culpeper,VA,66269.0
I-200-20189-698789,Certified,2020-07-14,Marketing Managers,"Moet Hennessy Usa, Inc.",New York,NY,New York,NY,153296.0
I-200-20231-774840,Certified,2020-08-25,"Software Developers, Applications","Piorion Solutions,Inc",Kingston,NJ,Richmond,VA,87984.0
I-200-23116-969712,Certified,2023-05-03,Software Developers,Docusign Inc.,San Francisco,CA,Chicago,IL,134118.0
I-200-21355-779305,Certified,2021-12-29,"Software Developers, Applications",Google Llc,Mountain View,CA,Kirkland,WA,140920.0
I-200-22287-531387,Withdrawn,2022-10-14,Electrical Engineers,"Maxlinear, Inc.",Carlsbad,CA,San Jose,CA,124259.0
I-200-20056-349148,Certified,2020-03-03,"Software Developers, Applications",Google Llc,Mountain View,CA,Kirkland,WA,113381.0
I-200-20132-560819,Certified,2020-05-18,Web Developers,Tata Consultancy Services Limited,Rockville,MD,Montvale,NJ,65853.0
I-200-21160-383758,Certified,2021-06-16,Computer Systems Engineers/Architects,Amex Systems Inc,Farmington Hills,MI,Farmington Hills,MI,62213.0
I-200-19057-074643,Certified,2019-03-04,Computer And Information Research Scientists,Cerebras Systems Inc.,Los Altos,CA,Los Altos,CA,131997.0
I-200-20218-753063,Certified,2020-08-12,Management Analysts,"Alixpartners, Llp",Southfield,MI,Dallas,TX,62358.0
I-200-23051-787029,Certified,2023-02-27,Computer And Information Systems Managers,Ncl Corporation Ltd.,Miami,FL,Miami,FL,124675.0
I-200-20363-981547,Certified,2021-01-05,"Software Developers, Applications",Dfs Corporate Services Llc,Riverwoods,IL,Chicago,IL,121389.0
I-200-19009-841932,Certified,2019-02-06,"Software Developers, Applications","Hexaware Technologies, Inc.",Iselin,NJ,Portland,OR,124280.0
I-200-23076-856342,Certified,2023-03-24,Electrical Engineers,Microsoft Corporation,Redmond,WA,Hillsboro,OR,106454.0
I-200-22111-092219,Certified,2022-04-28,"Software Developers, Applications",Amazon.com Services Llc,Seattle,WA,"Seattle,",WA,119350.0
I-200-22252-464321,Certified,2022-09-16,Financial Quantitative Analysts,Kbit Llc,New York,NY,New York,NY,122824.0
I-200-20205-732828,Certified,2020-07-30,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Frisco,TX,97240.0
I-200-19182-607971,Certified - Withdrawn,2019-07-08,"Software Developers, Applications",Ciber Global Llc,Troy,MI,Pittsburgh,PA,103314.0
I-200-19056-503102,Certified,2019-03-01,Computer Programmers,Wipro Limited,East Brunswick,NJ,Atlanta,GA,71739.0
